File_Name,Text_Data
14900.6.txt,"{'POSITIVE SCORE': 1.4512945547449137e-06, 'NEGATIVE SCORE': 0.4467665157320331, 'POLARITY SCORE': 1.4512945547449137e-06, 'SUBJECTIVITY SCORE': 0.4467665157320331, 'AVG SENTENCE LENGTH': 19.91566265060241, 'PERCENTAGE OF COMPLEX WORDS': 70.79934747145188, 'FOG INDEX': 36.28600404882172, 'AVG NUMBER OF WORDS PER SENTENCE': 22.156626506024097, 'COMPLEX WORD COUNT': 1302, 'WORD COUNT': 1839, 'SYLLABLES PER WORD': 1.595432300163132, 'PERSONAL PRONOUNS': 13, 'AVG WORD LENGTH': 4.876563349646547}"
15362.4.txt,"{'POSITIVE SCORE': 0.13422222222222224, 'NEGATIVE SCORE': 0.5038333333333334, 'POLARITY SCORE': 0.13422222222222224, 'SUBJECTIVITY SCORE': 0.5038333333333334, 'AVG SENTENCE LENGTH': 23.136363636363637, 'PERCENTAGE OF COMPLEX WORDS': 71.1775043936731, 'FOG INDEX': 37.725547212014696, 'AVG NUMBER OF WORDS PER SENTENCE': 25.863636363636363, 'COMPLEX WORD COUNT': 405, 'WORD COUNT': 569, 'SYLLABLES PER WORD': 1.688927943760984, 'PERSONAL PRONOUNS': 0, 'AVG WORD LENGTH': 5.177504393673111}"
15824.2.txt,"{'POSITIVE SCORE': 0.11607041107041109, 'NEGATIVE SCORE': 0.5525498575498576, 'POLARITY SCORE': 0.11607041107041109, 'SUBJECTIVITY SCORE': 0.5525498575498576, 'AVG SENTENCE LENGTH': 182.0, 'PERCENTAGE OF COMPLEX WORDS': 77.18446601941747, 'FOG INDEX': 103.673786407767, 'AVG NUMBER OF WORDS PER SENTENCE': 185.4, 'COMPLEX WORD COUNT': 1431, 'WORD COUNT': 1854, 'SYLLABLES PER WORD': 1.5490830636461705, 'PERSONAL PRONOUNS': 17, 'AVG WORD LENGTH': 4.974649406688242}"
16286.txt,"{'POSITIVE SCORE': 0.13839285714285715, 'NEGATIVE SCORE': 0.437579365079365, 'POLARITY SCORE': 0.13839285714285715, 'SUBJECTIVITY SCORE': 0.437579365079365, 'AVG SENTENCE LENGTH': 17.339285714285715, 'PERCENTAGE OF COMPLEX WORDS': 74.46808510638297, 'FOG INDEX': 36.72294832826748, 'AVG NUMBER OF WORDS PER SENTENCE': 19.303571428571427, 'COMPLEX WORD COUNT': 805, 'WORD COUNT': 1081, 'SYLLABLES PER WORD': 1.604995374653099, 'PERSONAL PRONOUNS': 1, 'AVG WORD LENGTH': 4.879740980573543}"
16747.8.txt,"{'POSITIVE SCORE': 0.04546332046332047, 'NEGATIVE SCORE': 0.3193693693693694, 'POLARITY SCORE': 0.04546332046332047, 'SUBJECTIVITY SCORE': 0.3193693693693694, 'AVG SENTENCE LENGTH': 18.666666666666668, 'PERCENTAGE OF COMPLEX WORDS': 69.09975669099757, 'FOG INDEX': 35.10656934306569, 'AVG NUMBER OF WORDS PER SENTENCE': 21.076923076923077, 'COMPLEX WORD COUNT': 568, 'WORD COUNT': 822, 'SYLLABLES PER WORD': 1.72992700729927, 'PERSONAL PRONOUNS': 0, 'AVG WORD LENGTH': 5.109489051094891}"
17209.6.txt,"{'POSITIVE SCORE': 0.0, 'NEGATIVE SCORE': 0.0, 'POLARITY SCORE': 0.0, 'SUBJECTIVITY SCORE': 0.0, 'AVG SENTENCE LENGTH': 0, 'PERCENTAGE OF COMPLEX WORDS': 0, 'FOG INDEX': 0.0, 'AVG NUMBER OF WORDS PER SENTENCE': 0, 'COMPLEX WORD COUNT': 0, 'WORD COUNT': 0, 'SYLLABLES PER WORD': 0, 'PERSONAL PRONOUNS': 0, 'AVG WORD LENGTH': 0}"
18133.2.txt,"{'POSITIVE SCORE': -0.04339129389129389, 'NEGATIVE SCORE': 0.3412342842342842, 'POLARITY SCORE': -0.04339129389129389, 'SUBJECTIVITY SCORE': 0.3412342842342842, 'AVG SENTENCE LENGTH': 25.75925925925926, 'PERCENTAGE OF COMPLEX WORDS': 75.80117724002616, 'FOG INDEX': 40.62417459971417, 'AVG NUMBER OF WORDS PER SENTENCE': 28.314814814814813, 'COMPLEX WORD COUNT': 1159, 'WORD COUNT': 1529, 'SYLLABLES PER WORD': 1.5735775016350555, 'PERSONAL PRONOUNS': 2, 'AVG WORD LENGTH': 4.855461085676913}"
18595.txt,"{'POSITIVE SCORE': 0.12553661616161615, 'NEGATIVE SCORE': 0.42022306397306397, 'POLARITY SCORE': 0.12553661616161615, 'SUBJECTIVITY SCORE': 0.42022306397306397, 'AVG SENTENCE LENGTH': 24.533333333333335, 'PERCENTAGE OF COMPLEX WORDS': 71.67277167277167, 'FOG INDEX': 38.482442002442006, 'AVG NUMBER OF WORDS PER SENTENCE': 27.3, 'COMPLEX WORD COUNT': 587, 'WORD COUNT': 819, 'SYLLABLES PER WORD': 1.5262515262515262, 'PERSONAL PRONOUNS': 5, 'AVG WORD LENGTH': 4.577533577533577}"
19056.8.txt,"{'POSITIVE SCORE': 0.18426043159738814, 'NEGATIVE SCORE': 0.5035132982959067, 'POLARITY SCORE': 0.18426043159738814, 'SUBJECTIVITY SCORE': 0.5035132982959067, 'AVG SENTENCE LENGTH': 17.54054054054054, 'PERCENTAGE OF COMPLEX WORDS': 70.74074074074073, 'FOG INDEX': 35.31251251251251, 'AVG NUMBER OF WORDS PER SENTENCE': 19.45945945945946, 'COMPLEX WORD COUNT': 1528, 'WORD COUNT': 2160, 'SYLLABLES PER WORD': 1.5587962962962962, 'PERSONAL PRONOUNS': 15, 'AVG WORD LENGTH': 4.754166666666666}"
19518.6.txt,"{'POSITIVE SCORE': 0.3019047619047619, 'NEGATIVE SCORE': 0.6216809116809117, 'POLARITY SCORE': 0.3019047619047619, 'SUBJECTIVITY SCORE': 0.6216809116809117, 'AVG SENTENCE LENGTH': 15.568181818181818, 'PERCENTAGE OF COMPLEX WORDS': 70.93023255813954, 'FOG INDEX': 34.59936575052854, 'AVG NUMBER OF WORDS PER SENTENCE': 17.59090909090909, 'COMPLEX WORD COUNT': 549, 'WORD COUNT': 774, 'SYLLABLES PER WORD': 1.5529715762273901, 'PERSONAL PRONOUNS': 3, 'AVG WORD LENGTH': 4.723514211886305}"
